Date,IE 8.0,Chrome for Android,IE 6.0,IE 7.0,IE 9.0,Firefox 3.6,Android 0,IE 11.0,Chrome 49.0,IE 10.0,Safari iPhone,Chrome 37.0,Chrome 39.0,Chrome 35.0,Chrome 23.0,Chrome 26.0,Chrome 36.0,Chrome 51.0,Chrome 43.0,Chrome 31.0,Chrome 54.0,Chrome 46.0,Chrome 38.0,Chrome 27.0,Chrome 21.0,Chrome 34.0,Chrome 47.0,Chrome 33.0,Chrome 28.0,Chrome 40.0,Chrome 29.0,Chrome 53.0,Chrome 30.0,Chrome 48.0,Chrome 24.0,Chrome 22.0,Chrome 56.0,Chrome 63.0,Chrome 58.0,Chrome 16.0,Firefox 3.5,Chrome 60.0,Chrome 44.0,Chrome 45.0,Chrome 55.0,Chrome 32.0,Chrome 52.0,Chrome 83.0,Chrome 50.0,Chrome 41.0,Chrome 19.0,Chrome 61.0,Chrome 25.0,Chrome 18.0,Chrome 12.0,Chrome 79.0,Chrome 67.0,Chrome 13.0,Opera 0,Chrome 17.0,Chrome 42.0,Firefox 3.0,Chrome 74.0,Chrome 15.0,Chrome 59.0,Chrome 80.0,Chrome 75.0,Chrome 20.0,Chrome 66.0,Chrome 78.0,Firefox 4.0,Chrome 71.0,Chrome 73.0,Chrome 84.0,Chrome 70.0,Safari iPad,Chrome 76.0,Chrome 65.0,Chrome 85.0,Chrome 14.0,Chrome 72.0,Chrome 68.0,Chrome 11.0,Chrome 57.0,Chrome 77.0,Chrome 8.0,Chrome 69.0,Chrome 10.0,Chrome 62.0,Chrome 64.0,Chrome 81.0,Chrome 86.0,Firefox 5.0,Chrome 5.0,Chrome 4.0,Firefox 12.0,Chrome 9.0,Chrome 91.0,Firefox 6.0,Firefox 8.0,Nokia 0,Chrome 7.0,Firefox 16.0,Firefox 14.0,Chrome 87.0,Firefox 15.0,Chrome 6.0,Firefox 11.0,Chrome 90.0,Firefox 13.0,Chrome 96.0,Firefox 7.0,IEMobile 11.0,Firefox 10.0,Chrome 89.0,Chrome 92.0,Firefox 9.0,Firefox 19.0,Chrome 88.0,Safari 5.0,Firefox 18.0,Safari 5.1,Firefox 21.0,Firefox 20.0,Chrome for iPhone,Firefox 17.0,Firefox 32.0,Firefox 22.0,Chrome 103.0,Firefox 23.0,Firefox 26.0,Chrome 94.0,Firefox 31.0,Firefox 2.0,Chrome 95.0,Firefox 25.0,Firefox 28.0,Firefox 30.0,Firefox 24.0,Chrome 105.0,Firefox 33.0,IEMobile 10.0,Firefox 29.0,Chrome 3.0,Firefox 27.0,Chrome 102.0,Chrome 93.0,Chrome 100.0,Chrome 97.0,Microsoft-WebDAV 0,BlackBerry 0,Firefox 35.0,Chrome 104.0,Chrome 99.0,Firefox 47.0,Firefox 34.0,Firefox 38.0,Chrome 108.0,Chrome 101.0,Safari 4.0,Chrome 98.0,Chrome 106.0,Chrome 107.0,Chrome 109.0,Safari 6.0,Firefox 37.0,360 Safe Browser 0,Firefox 43.0,Firefox 39.0,Chrome iPad,Firefox 40.0,Firefox 36.0,Safari iPod Touch,Safari 8.0,Chrome 111.0,Firefox 42.0,Firefox 41.0,Chrome 112.0,Firefox 50.0,Firefox 49.0,Firefox 45.0,Safari 7.0,Edge 14,Edge 13,Safari 9.1,Samsung Internet 3.3,Safari 12.1,Firefox 52.0,Safari 10.1,Edge 17,Safari 11.1,Safari 13.1,Safari 12.0,Firefox 44.0,Opera 12.1,Firefox 48.0,Safari 13.0,Chrome 110.0,Opera 11.6,Safari 9.0,Safari 11.0,Firefox 57.0,Firefox 54.0,Firefox 46.0,Edge 18,Safari 10.0,Firefox 53.0,IEMobile 9.0,Chrome 2.0,Firefox 51.0,Edge 12,Opera 11.5,Opera 10.6,Firefox 59.0,Opera 12.0,Samsung Internet 4.0,Firefox 56.0,Samsung Internet 2.0,Samsung Internet 3.5,Firefox 66.0,Firefox 55.0,Edge 15,Chrome for Andr,Android 2.2,Edge 16,Firefox 58.0,Opera 11.0,Chrome 1.0,Firefox 61.0,Chrome 113.0,Safari 6.1,Firefox 68.0,Samsung Internet 1.1,Opera 68.0,Safari 14.0,Firefox 60.0,Opera 11.1,Firefox 67.0,Opera 10.0,Maxthon 4.4,Safari 7.1,Opera 58.0,Firefox 69.0,Firefox 65.0,Samsung Internet 1.0,Chromium 25.0,Edge 85,Firefox 63.0,Opera 10.5,Opera 9.6,Firefox 62.0,Opera Mini 4.4,NetFront 0,Sony PS4 0,Opera 63.0,Firefox 70.0,Edge 83,Samsung Internet 5.4,Edge 84,Firefox 64.0,Samsung Internet 2.1,Obigo 0,Instabridge 21.9,Samsung Internet 9.2,Edge 91,Edge 86,IEMobile 0,Opera 30.0,Firefox 72.0,Other
2022-07,0,"41,66",0,0,0,0,"0,14","0,06","0,02",0,"2,99",0,0,0,0,0,0,0,0,0,0,0,"0,04",0,0,"0,01","0,01",0,0,0,0,"0,02",0,0,0,"0,01",0,"0,01",0,0,0,0,0,0,0,0,0,"0,02",0,0,0,0,0,0,0,"0,26","0,01",0,0,0,0,0,"0,03",0,0,"0,03","0,01",0,"0,02","0,01",0,"0,01","0,01","0,01","0,01","0,09","0,01","0,01","0,02",0,"0,01","0,03",0,0,"0,01",0,"0,01",0,0,0,"0,07","0,03",0,0,0,0,0,"0,27",0,0,0,0,0,0,"0,14",0,0,0,"0,02",0,"0,11",0,0,0,"0,03","0,1",0,0,"0,02",0,0,0,0,0,"0,67",0,0,0,"40,96",0,0,"0,04",0,0,"0,05",0,0,0,0,"0,01",0,0,0,0,0,"1,32","0,04","0,21","0,1",0,0,0,"0,02","0,12",0,0,0,0,"0,22",0,"0,08",0,0,0,0,0,0,0,0,"0,08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,"0,01","0,01",0,0,"0,01","0,04",0,0,0,0,"0,01",0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,0,0,0,"0,04",0,"0,04","0,01",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,"0,04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,02","0,03",0,0,0,0,0,"0,02",0,"0,07","0,01",0,0,0,0,0,"9,29"
2022-08,0,"42,13",0,0,0,0,"0,15","0,06","0,02",0,"3,1",0,0,0,0,0,0,0,0,0,0,0,"0,04",0,0,"0,01",0,0,0,0,0,"0,01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,"0,26","0,01",0,0,0,0,0,"0,02",0,0,"0,03","0,01",0,"0,05","0,01",0,"0,01",0,"0,01","0,01","0,09",0,0,"0,02",0,"0,01","0,02",0,0,"0,01",0,0,0,0,0,"0,06","0,05",0,0,0,0,0,"0,16",0,0,0,0,0,0,"0,17",0,0,0,"0,02",0,"0,11",0,0,0,"0,02","0,09",0,0,"0,02",0,0,0,0,0,"0,66",0,0,0,"9,98",0,0,"0,03",0,0,"0,05",0,0,0,0,"0,1",0,0,0,0,0,"0,26","0,04","0,15","0,1",0,0,0,"31,72","0,09",0,0,0,0,"0,13",0,"0,07",0,0,0,0,0,0,0,0,"0,08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01","0,01","0,01",0,0,0,"0,04",0,0,0,0,"0,02",0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,0,0,0,"0,04",0,"0,03","0,01",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,"0,04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,02","0,02",0,0,0,0,0,"0,03",0,"0,06","0,01",0,0,0,0,0,"9,27"
2022-09,0,"39,45",0,0,0,0,"0,14","0,07","0,02",0,"3,09",0,0,0,0,0,0,"0,01",0,0,0,0,"0,03",0,0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,0,"0,02",0,0,0,0,0,0,0,"0,21",0,0,0,0,0,0,"0,02",0,0,"0,03","0,01",0,"0,05","0,01",0,0,0,"0,01","0,01","0,09","0,01",0,"0,02",0,"0,01","0,02",0,0,"0,01",0,0,0,"0,01",0,"0,06","0,03",0,0,0,0,0,"0,1",0,0,0,0,0,0,"0,12",0,0,0,"0,02",0,"0,12",0,0,0,"0,02","0,1",0,0,"0,02",0,0,0,0,0,"0,64",0,0,0,"0,53",0,0,"0,03",0,0,"0,04",0,0,0,0,"35,18",0,0,0,0,0,"0,15","0,05","0,12","0,09",0,0,0,"8,48","0,08",0,0,0,0,"0,1",0,"0,06","0,65","0,01",0,0,0,0,0,0,"0,09",0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,0,"0,01","0,01","0,01",0,0,0,"0,03",0,0,0,0,"0,02",0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,0,0,0,"0,04",0,"0,03","0,01",0,0,0,0,0,0,0,0,0,0,0,0,"0,01","0,01",0,"0,04",0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,"0,02","0,01",0,0,0,0,0,"0,03",0,"0,04","0,01",0,0,0,0,0,"9,31"
2022-10,0,"37,64",0,0,0,0,"0,13","0,08","0,02",0,"3,28",0,0,0,0,0,0,0,0,0,0,0,"0,03",0,0,"0,01",0,0,0,0,0,"0,01",0,0,0,0,"0,01",0,0,0,0,0,0,0,0,0,0,"0,02",0,0,0,0,0,0,0,"0,23",0,0,0,0,0,0,"0,02",0,0,"0,03",0,0,"0,01","0,01",0,0,0,"0,01",0,"0,09","0,01",0,"0,02",0,"0,01","0,02",0,0,"0,01",0,0,0,"0,01",0,"0,05","0,03",0,0,0,0,0,"0,1",0,0,0,0,0,0,"0,06",0,0,0,"0,02",0,"0,09",0,0,0,"0,02","0,1",0,0,"0,02",0,0,0,0,0,"0,67",0,0,0,"0,33",0,0,"0,02",0,0,"0,04",0,0,0,0,"12,92",0,0,0,0,0,"0,12","0,04","0,15","0,08",0,0,0,"0,47","0,07",0,0,0,"0,01","0,11",0,"0,05","31,73","1,14",0,0,0,0,0,0,"0,09","0,01",0,0,0,0,0,"0,03",0,0,0,0,0,"0,01",0,0,"0,01","0,01","0,01",0,0,0,"0,04",0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,0,0,0,"0,04",0,"0,03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,"0,07",0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,"0,02",0,0,0,0,"0,01",0,"0,03",0,"0,02","0,01",0,0,0,0,0,"9,3"
2022-11,0,"43,91",0,0,0,0,"0,18","0,06","0,02",0,"3,65",0,0,0,0,0,0,0,0,0,0,0,"0,04",0,0,0,0,0,0,0,0,"0,01",0,0,0,"0,01",0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,"0,29",0,0,0,0,0,0,"0,09",0,0,"0,05","0,01",0,0,"0,01",0,0,0,"0,01","0,01","0,1","0,01",0,"0,02",0,"0,01","0,02",0,0,"0,01",0,0,0,"0,01",0,"0,05","0,02",0,0,0,0,0,"0,11",0,0,0,0,0,0,"0,06",0,0,0,"0,02",0,"0,08",0,0,0,"0,02","0,08",0,0,"0,02",0,0,0,0,0,"0,75",0,0,0,"0,25",0,0,"0,03",0,0,"0,04",0,0,0,0,"0,35",0,0,0,0,0,"0,07","0,04","0,07","0,06",0,0,0,"0,19","0,06",0,0,0,"0,1","0,07",0,"0,05","3,24","35,97","0,01",0,0,0,0,0,"0,09","0,01",0,0,0,0,0,"0,01",0,0,0,0,0,"0,01",0,0,"0,01","0,01","0,01",0,0,0,"0,03",0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,"0,01",0,0,0,0,0,0,0,0,"0,05",0,"0,05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,"0,04",0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,"0,02",0,0,0,0,"0,01",0,"0,04",0,"0,05","0,01",0,0,0,0,0,"9,04"
2022-12,0,"46,43",0,0,0,0,"0,16","0,06","0,03",0,"4,04",0,0,0,0,0,0,0,0,0,0,0,"0,04",0,0,0,"0,01",0,0,0,0,"0,02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,0,"0,01",0,"0,31",0,0,0,0,0,0,"0,02",0,0,"0,05","0,01",0,0,"0,02",0,0,0,"0,01","0,01","0,1",0,0,"0,03",0,0,"0,02",0,0,"0,01",0,0,0,0,0,"0,04","0,03",0,0,0,0,0,"0,12",0,0,0,0,0,0,"0,05",0,0,0,"0,01",0,"0,08",0,0,0,"0,01","0,07",0,0,"0,02",0,0,0,0,0,"0,91",0,0,0,"0,34",0,0,"0,02",0,0,"0,06",0,0,0,0,"0,19",0,0,0,0,0,"0,07","0,03","0,06","0,07",0,0,0,"0,13","0,05",0,0,0,"31,59","0,06",0,"0,04","0,22","4,8","0,01",0,0,0,0,0,"0,09","0,01",0,0,0,0,0,"0,01",0,0,0,0,0,0,0,0,"0,01",0,"0,01",0,0,0,"0,02",0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,0,"0,01",0,0,0,0,"0,05",0,"0,04","0,01",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,"0,05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,02",0,0,0,0,0,0,"0,03",0,"0,03","0,01",0,0,0,0,0,"9,01"
2023-01,0,"46,05",0,0,0,0,"0,14","0,06","0,03",0,"3,86",0,0,0,0,0,0,0,0,0,0,0,"0,05",0,0,0,"0,01",0,0,0,0,"0,02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,02",0,0,0,0,0,0,0,"0,36",0,0,0,0,0,0,"0,01",0,0,"0,04",0,0,"0,01","0,01",0,0,0,"0,01","0,01","0,11",0,"0,01","0,02",0,0,"0,03",0,0,"0,01",0,"0,01",0,0,0,"0,04","0,01",0,0,0,0,0,"0,11",0,0,0,0,0,0,"0,06",0,0,0,"0,01",0,"0,07",0,0,0,"0,01","0,06",0,0,"0,02",0,0,0,0,0,"0,86",0,0,0,"0,19",0,0,"0,06",0,0,"0,04",0,0,0,0,"0,15",0,0,0,0,0,"0,06","0,04","0,06","0,06",0,0,0,"0,12","0,07",0,0,0,"17,89","0,06",0,"0,03","0,11","0,28","18,43",0,0,0,0,0,"0,1","0,01",0,"0,01",0,"0,01",0,"0,01",0,0,0,0,0,0,0,0,"0,05",0,"0,01",0,0,0,"0,02",0,0,0,0,0,"0,01",0,0,0,0,0,0,"0,01",0,0,0,0,0,"0,01",0,0,0,0,"0,07",0,"0,04","0,01","0,01",0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,"0,04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,03",0,0,0,0,0,0,"0,04",0,"0,04",0,0,0,0,0,0,"9,63"
2023-02,0,"46,16",0,0,0,0,"0,13","0,06","0,03",0,"3,73",0,0,0,0,0,0,0,0,0,0,0,"0,04",0,0,"0,01","0,01",0,0,0,0,"0,02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,"0,39",0,0,0,0,0,0,"0,01",0,0,"0,01",0,0,0,"0,01",0,0,0,"0,01",0,"0,12","0,01",0,"0,01",0,0,"0,02",0,0,"0,01",0,0,0,0,0,"0,04","0,01",0,0,0,0,0,"0,1",0,0,0,0,0,0,"0,05",0,0,0,"0,02",0,"0,07",0,0,0,"0,01","0,06",0,0,"0,02",0,0,0,0,0,"0,85",0,0,0,"0,17",0,0,"0,02",0,0,"0,05",0,0,0,0,"0,11",0,0,0,0,0,"0,04","0,06","0,05","0,06",0,0,0,"0,11","0,05",0,0,0,"0,62","0,07",0,"0,04","0,1","0,19","21,58",0,0,0,0,0,"0,1",0,0,0,0,"0,01",0,0,0,0,0,0,0,0,0,0,"0,03",0,"0,01",0,0,0,"0,03",0,0,0,0,0,"14,54",0,0,0,0,0,0,"0,01",0,0,0,0,0,"0,01",0,0,0,0,"0,07",0,"0,04","0,01","0,01",0,0,0,0,0,0,0,0,0,0,0,0,"0,01",0,"0,02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,03",0,0,0,0,0,0,"0,03",0,"0,02",0,0,0,0,0,0,"9,56"
2023-03,"0,01","41,72",0,0,0,0,"0,12","0,08","0,04",0,"3,5",0,0,0,0,0,0,0,0,0,0,0,"0,04",0,0,"0,01",0,0,0,0,0,"0,02",0,0,0,0,"0,01",0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,"0,44",0,0,0,0,0,0,"0,01",0,0,"0,02","0,01",0,0,"0,01",0,0,0,"0,01",0,"0,1","0,01",0,"0,01",0,"0,01","0,03",0,0,0,0,0,0,"0,01",0,"0,03","0,01",0,0,0,0,0,"0,1",0,0,0,0,0,0,"0,06",0,0,0,"0,01",0,"0,07",0,0,0,"0,01","0,02",0,0,"0,02",0,0,0,0,0,"0,86",0,0,0,"4,64",0,0,"0,02",0,0,"0,52",0,0,0,0,"0,07",0,0,0,0,0,"0,05","0,03","0,05","0,07",0,0,0,"0,1","0,08",0,0,0,"0,3","0,05",0,"0,05","0,08","0,14","3,84",0,0,0,0,0,"0,09",0,0,0,0,"20,58",0,0,"0,01",0,0,0,0,0,0,0,"0,01",0,"0,01",0,0,0,"0,03",0,0,0,0,0,"12,31",0,0,0,0,0,0,"0,01",0,0,0,0,0,"0,01",0,0,0,0,"0,09",0,"0,04","0,01",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01","0,01","0,02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,02",0,0,0,0,0,0,"0,03",0,"0,01",0,0,0,0,0,0,"9,12"
2023-04,"0,01","42,96",0,0,0,0,"0,13","0,09","0,03",0,"3,56",0,0,0,0,0,0,0,0,0,0,0,"0,05",0,0,"0,01","0,01",0,0,0,0,"0,02",0,0,0,0,"0,01",0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,"0,01",0,0,0,"0,6",0,0,0,0,0,0,"0,02",0,0,"0,02",0,0,0,"0,01",0,0,0,0,0,"0,09","0,01",0,"0,02",0,"0,01","0,03",0,0,"0,01",0,0,0,"0,01",0,"0,04","0,01",0,0,0,0,0,"0,06",0,0,0,0,0,0,"0,08",0,0,0,"0,01",0,"0,09",0,0,0,"0,01","0,02",0,0,"0,02",0,0,0,0,0,"0,8",0,0,0,"0,12",0,0,"0,15",0,0,"0,05",0,0,0,0,"0,08",0,0,0,0,0,"0,05","0,03","0,06","0,06",0,0,0,"0,06","0,08",0,0,0,"0,18","0,03",0,"0,08","0,08","0,1","3,54",0,0,0,0,0,"0,1","0,02",0,0,0,"15,04",0,"0,04","21,1",0,0,0,0,0,0,0,"0,01",0,"0,01",0,0,0,"0,03",0,0,0,0,0,"0,34",0,0,0,0,0,0,"0,01",0,0,0,0,0,"0,01",0,0,0,0,"0,1",0,"0,04",0,0,0,0,0,0,0,0,0,0,0,"0,02",0,0,"0,01","0,01","0,02",0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,"0,02",0,0,0,0,0,0,"0,04",0,"0,01",0,0,0,0,0,0,"9,33"
2023-05,0,"41,14",0,0,0,0,"0,12","0,06","0,04",0,"3,51",0,"0,01",0,0,0,0,0,0,0,0,0,"0,05",0,0,"0,01","0,01",0,0,0,0,"0,02",0,0,0,0,"0,01",0,0,0,0,0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,"0,64",0,0,0,0,0,0,"0,02",0,0,"0,02",0,0,0,"0,01",0,0,0,0,"0,01","0,1",0,0,"0,01",0,0,"0,04",0,0,0,0,0,0,"0,01",0,"0,04","0,01",0,0,0,0,0,"0,08",0,0,0,0,0,0,"0,1",0,0,0,"0,01",0,"0,07",0,0,0,"0,01","0,03",0,0,"0,03",0,0,0,0,0,"0,8",0,0,0,"0,15",0,0,"0,02",0,0,"0,07",0,0,0,0,"0,06",0,0,0,0,0,"0,06","0,04","0,06","0,03",0,0,0,"0,04","0,07",0,0,0,"0,14","0,02",0,"0,02","0,06","0,06","3,66",0,0,"0,01",0,0,"0,1","0,02",0,0,0,"0,58",0,"0,05","17,37",0,0,0,0,0,0,0,"0,01",0,"0,01",0,0,0,"0,01",0,0,0,0,0,"0,13",0,0,0,0,0,0,"0,01",0,0,0,0,0,0,0,0,0,0,"0,12",0,"0,05",0,"0,01",0,"0,01",0,0,0,0,0,0,0,"20,22",0,0,"0,01",0,"0,02",0,0,0,0,0,0,0,0,0,"0,01","0,01",0,0,0,0,0,0,0,"0,02",0,0,0,0,0,0,"0,04",0,"0,01",0,0,0,0,0,0,"9,51"
Date,IE 8.0,Chrome for Android,IE 6.0,IE 7.0,IE 9.0,Firefox 3.6,Android 0,IE 11.0,Chrome 49.0,IE 10.0,Safari iPhone,Chrome 37.0,Chrome 39.0,Chrome 35.0,Chrome 23.0,Chrome 26.0,Chrome 36.0,Chrome 51.0,Chrome 43.0,Chrome 31.0,Chrome 54.0,Chrome 46.0,Chrome 38.0,Chrome 27.0,Chrome 21.0,Chrome 34.0,Chrome 47.0,Chrome 33.0,Chrome 28.0,Chrome 40.0,Chrome 29.0,Chrome 53.0,Chrome 30.0,Chrome 48.0,Chrome 24.0,Chrome 22.0,Chrome 56.0,Chrome 63.0,Chrome 58.0,Chrome 16.0,Firefox 3.5,Chrome 60.0,Chrome 44.0,Chrome 45.0,Chrome 55.0,Chrome 32.0,Chrome 52.0,Chrome 83.0,Chrome 50.0,Chrome 41.0,Chrome 19.0,Chrome 61.0,Chrome 25.0,Chrome 18.0,Chrome 12.0,Chrome 79.0,Chrome 67.0,Chrome 13.0,Opera 0,Chrome 17.0,Chrome 42.0,Firefox 3.0,Chrome 74.0,Chrome 15.0,Chrome 59.0,Chrome 80.0,Chrome 75.0,Chrome 20.0,Chrome 66.0,Chrome 78.0,Firefox 4.0,Chrome 71.0,Chrome 73.0,Chrome 84.0,Chrome 70.0,Safari iPad,Chrome 76.0,Chrome 65.0,Chrome 85.0,Chrome 14.0,Chrome 72.0,Chrome 68.0,Chrome 11.0,Chrome 57.0,Chrome 77.0,Chrome 8.0,Chrome 69.0,Chrome 10.0,Chrome 62.0,Chrome 64.0,Chrome 81.0,Chrome 86.0,Firefox 5.0,Chrome 5.0,Chrome 4.0,Firefox 12.0,Chrome 9.0,Chrome 91.0,Firefox 6.0,Firefox 8.0,Nokia 0,Chrome 7.0,Firefox 16.0,Firefox 14.0,Chrome 87.0,Firefox 15.0,Chrome 6.0,Firefox 11.0,Chrome 90.0,Firefox 13.0,Chrome 96.0,Firefox 7.0,IEMobile 11.0,Firefox 10.0,Chrome 89.0,Chrome 92.0,Firefox 9.0,Firefox 19.0,Chrome 88.0,Safari 5.0,Firefox 18.0,Safari 5.1,Firefox 21.0,Firefox 20.0,Chrome for iPhone,Firefox 17.0,Firefox 32.0,Firefox 22.0,Chrome 103.0,Firefox 23.0,Firefox 26.0,Chrome 94.0,Firefox 31.0,Firefox 2.0,Chrome 95.0,Firefox 25.0,Firefox 28.0,Firefox 30.0,Firefox 24.0,Chrome 105.0,Firefox 33.0,IEMobile 10.0,Firefox 29.0,Chrome 3.0,Firefox 27.0,Chrome 102.0,Chrome 93.0,Chrome 100.0,Chrome 97.0,Microsoft-WebDAV 0,BlackBerry 0,Firefox 35.0,Chrome 104.0,Chrome 99.0,Firefox 47.0,Firefox 34.0,Firefox 38.0,Chrome 108.0,Chrome 101.0,Safari 4.0,Chrome 98.0,Chrome 106.0,Chrome 107.0,Chrome 109.0,Safari 6.0,Firefox 37.0,360 Safe Browser 0,Firefox 43.0,Firefox 39.0,Chrome iPad,Firefox 40.0,Firefox 36.0,Safari iPod Touch,Safari 8.0,Chrome 111.0,Firefox 42.0,Firefox 41.0,Chrome 112.0,Firefox 50.0,Firefox 49.0,Firefox 45.0,Safari 7.0,Edge 14,Edge 13,Safari 9.1,Samsung Internet 3.3,Safari 12.1,Firefox 52.0,Safari 10.1,Edge 17,Safari 11.1,Safari 13.1,Safari 12.0,Firefox 44.0,Opera 12.1,Firefox 48.0,Safari 13.0,Chrome 110.0,Opera 11.6,Safari 9.0,Safari 11.0,Firefox 57.0,Firefox 54.0,Firefox 46.0,Edge 18,Safari 10.0,Firefox 53.0,IEMobile 9.0,Chrome 2.0,Firefox 51.0,Edge 12,Opera 11.5,Opera 10.6,Firefox 59.0,Opera 12.0,Samsung Internet 4.0,Firefox 56.0,Samsung Internet 2.0,Samsung Internet 3.5,Firefox 66.0,Firefox 55.0,Edge 15,Chrome for Andr,Android 2.2,Edge 16,Firefox 58.0,Opera 11.0,Chrome 1.0,Firefox 61.0,Chrome 113.0,Safari 6.1,Firefox 68.0,Samsung Internet 1.1,Opera 68.0,Safari 14.0,Firefox 60.0,Opera 11.1,Firefox 67.0,Opera 10.0,Maxthon 4.4,Safari 7.1,Opera 58.0,Firefox 69.0,Firefox 65.0,Samsung Internet 1.0,Chromium 25.0,Edge 85,Firefox 63.0,Opera 10.5,Opera 9.6,Firefox 62.0,Opera Mini 4.4,NetFront 0,Sony PS4 0,Opera 63.0,Firefox 70.0,Edge 83,Samsung Internet 5.4,Edge 84,Firefox 64.0,Samsung Internet 2.1,Obigo 0,Instabridge 21.9,Samsung Internet 9.2,Edge 91,Edge 86,IEMobile 0,Opera 30.0,Firefox 72.0,Other
